,age_of_driver,Sex_of_driver,car_age,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity,accident history
9780,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,2,691
9782,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Other,Changing lane to the left,2,191
9783,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,719
9784,31-50,Male,Unknown,Earth roads,Wet or damp,Daylight,Raining,No priority to pedestrian,2,720
9785,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Moving Backward,2,158
9786,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,311
9789,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Changing lane to the right,2,2460
9790,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,1,3786
9791,18-30,Male,Below 1yr,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,1,408
9793,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,914
9794,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,2,186
9795,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,897
9796,Unknown,Female,Unknown,Gravel roads,Wet or damp,Darkness - lights lit,Normal,Driving carelessly,2,2913
9797,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,317
9798,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Changing lane to the right,2,3268
9799,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Overtaking,2,3269
9800,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,2,368
9801,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Moving Backward,2,369
9802,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,392
9803,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Overtaking,2,745
9804,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Driving carelessly,1,1383
9805,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,1,2915
9806,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Moving Backward,1,2914
9807,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,1,2918
9808,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Driving to the left,1,2917
9809,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Changing lane to the left,2,3133
9814,Unknown,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3783
9816,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Moving Backward,2,2
9820,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,1693
9821,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving to the left,2,1691
9822,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving to the left,2,1708
9823,Unknown,Female,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,2,1186
9824,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,2,1206
9825,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Overtaking,2,3835
9826,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,Driving carelessly,2,416
9827,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,778
9828,18-30,Female,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,1,53
9829,Over 51,Female,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,287
9830,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,697
9831,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,699
9832,18-30,Male,Unknown,Other,Wet or damp,Daylight,Raining,Changing lane to the right,2,1321
9833,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,1328
9834,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Driving at high speed,2,272
9835,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,203
9836,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,2,204
9842,18-30,Male,1-2yr,Other,Wet or damp,Darkness - lights lit,Raining and Windy,Changing lane to the left,2,339
9846,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,1939
9847,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to pedestrian,2,2376
9849,Over 51,Male,Unknown,Earth roads,Dry,Daylight,Normal,No priority to vehicle,1,16
9851,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3841
9852,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,1445
9853,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,2,1446
9854,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2491
9855,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,1593
9856,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,595
9857,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the left,2,2465
9858,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No distancing,2,2464
9859,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Overturning,2,387
9860,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to vehicle,2,383
9861,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Moving Backward,2,202
9862,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving under the influence of drugs,2,2236
9864,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,1302
9865,Under 18,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overspeed,2,1077
9866,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Driving under the influence of drugs,1,1812
9867,31-50,Male,1-2yr,Earth roads,Wet or damp,Darkness - no lighting,Normal,Driving carelessly,1,1815
9868,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,No distancing,1,1820
9869,Over 51,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,1,1779
9870,Under 18,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Overspeed,1,1781
9871,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,144
9872,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,143
9873,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1379
9874,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Other,Changing lane to the right,2,3702
9875,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Other,Changing lane to the right,2,3701
9876,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,3686
9878,18-30,Male,Unknown,Earth roads,Wet or damp,Darkness - lights lit,Normal,Overspeed,2,1443
9879,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,1772
9880,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving carelessly,2,1770
9884,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1264
9891,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to pedestrian,2,1921
9893,Over 51,Male,Unknown,Asphalt roads,Snow,Daylight,Snow,No distancing,2,378
9894,31-50,Male,Unknown,Asphalt roads,Snow,Daylight,Snow,Overturning,2,77
9903,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - no lighting,Snow,Changing lane to the right,2,534
9905,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Moving Backward,2,2680
9908,Over 51,Male,1-2yr,Earth roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,2,2682
9909,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,2705
9910,Over 51,Male,Unknown,Asphalt roads,Snow,Daylight,Normal,Changing lane to the right,2,868
9913,Unknown,Female,Unknown,Asphalt roads,Snow,Daylight,Normal,Changing lane to the right,2,181
9914,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Snow,Driving carelessly,2,810
9915,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Snow,Driving carelessly,2,173
9917,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Overturning,2,3374
9918,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1245
9919,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Moving Backward,2,548
9923,Over 51,Male,Above 10yr,Asphalt roads,Snow,Darkness - lights lit,Other,Changing lane to the right,2,1943
9924,31-50,Male,1-2yr,Asphalt roads,Snow,Darkness - lights lit,Other,Driving at high speed,2,1941
9925,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,948
9926,31-50,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,464
9927,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,470
9928,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Moving Backward,2,696
9929,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to pedestrian,2,289
9930,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Windy,Moving Backward,2,737
9933,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Drunk driving,2,2288
9941,31-50,Male,Above 10yr,Other,Dry,Darkness - no lighting,Normal,No priority to vehicle,2,2050
9943,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,2,2839
9944,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving carelessly,2,2841
9945,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,1602
9946,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1599
9951,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - no lighting,Normal,No distancing,2,2636
9952,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - no lighting,Normal,Changing lane to the right,2,2637
9953,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1190
9954,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Moving Backward,2,562
9956,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Driving under the influence of drugs,2,675
9960,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,1502
9962,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1899
9964,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,239
9965,31-50,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,2199
9966,Over 51,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,462
9968,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,464
9969,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,454
9970,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,458
9975,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3668
9976,31-50,Male,Unknown,Earth roads,Dry,Daylight,Normal,No priority to vehicle,1,168
9977,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,2,2358
9978,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,2,2359
9980,31-50,Male,Unknown,Earth roads,Wet or damp,Daylight,Fog or mist,No priority to pedestrian,2,3475
9982,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1956
9983,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Driving carelessly,1,2758
9984,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,882
9988,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,1478
9992,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Cloudy,Moving Backward,2,1232
9994,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,499
9996,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No distancing,2,2277
10005,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,1700
10014,Unknown,Female,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,2416
10022,31-50,Male,Below 1yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,2733
10023,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Other,Driving carelessly,2,555
10026,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,746
10029,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,1240
10030,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,227
10031,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2137
10036,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3728
10037,Unknown,Female,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,3729
10039,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,1,323
10040,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Driving to the left,1,321
10041,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Driving at high speed,1,320
10042,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Overtaking,1,316
10043,Under 18,Male,Unknown,Gravel roads,Wet or damp,Daylight,Normal,Changing lane to the right,1,312
10044,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,1,324
10045,18-30,Male,Unknown,Gravel roads,Wet or damp,Daylight,Normal,Moving Backward,1,20
10046,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,185
10047,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,883
10048,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,1,2764
10049,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,1,2762
10050,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,1,309
10055,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,257
10058,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,170
10059,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,804
10063,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,3528
10064,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,641
10065,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,642
10066,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,159
10067,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,64
10068,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,171
10069,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,603
10072,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1158
10075,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,1,1028
10078,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,228
10079,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,227
10084,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No priority to pedestrian,2,149
10085,Unknown,Female,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,2,689
10086,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3472
10094,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,2283
10102,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,2694
10103,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2693
10106,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,2,280
10109,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,0,1528
10110,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,742
10111,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,747
10116,Under 18,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving under the influence of drugs,2,3063
10117,18-30,Male,Below 1yr,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,1,3713
10119,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overloading,1,135
10120,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,291
10121,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,2,2889
10122,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2886
10123,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overturning,1,2827
10124,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,130
10125,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No priority to pedestrian,1,3185
10126,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,1,3184
10127,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No priority to vehicle,1,346
10128,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,0,3805
10129,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,0,3804
10130,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2217
10135,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,1,676
10138,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2320
10139,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,1,126
10143,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,2094
10144,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,3403
10145,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,3404
10146,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,110
10147,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,18
10148,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - no lighting,Normal,Changing lane to the right,1,326
10149,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,1,61
10152,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,143
10153,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,644
10154,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Moving Backward,2,645
10160,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,1825
10164,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1813
10165,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,No priority to pedestrian,2,260
10167,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,259
10169,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,1,3121
10170,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,171
10171,Under 18,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,339
10172,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1704
10173,Under 18,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,1705
10174,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,370
10175,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1788
10176,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,2041
10177,31-50,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,1,332
10178,31-50,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,1,3064
10179,Under 18,Male,Above 10yr,Gravel roads,Dry,Daylight,Normal,No priority to vehicle,2,118
10180,Under 18,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1081
10182,Unknown,Female,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,213
10183,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1020
10184,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,1019
10185,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,Overloading,2,578
10186,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Other,2,69
10187,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,No priority to vehicle,2,136
10188,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,67
10189,18-30,Male,1-2yr,Asphalt roads with some distress,Wet or damp,Daylight,Raining,Moving Backward,2,572
10190,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,2241
10191,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,2254
10192,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,269
10193,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,273
10194,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,708
10196,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,3412
10197,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,1488
10198,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No priority to pedestrian,2,1482
10202,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Overloading,1,2103
10209,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Overspeed,2,1070
10211,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,2,1080
10212,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,1,3542
10221,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,0,2814
10223,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1518
10226,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,Driving at high speed,2,1196
10227,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,0,1034
10228,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2443
10231,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Other,2,409
10232,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Other,2,1964
10233,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,1,3718
10235,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,187
10236,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,177
10237,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,0,2815
10241,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,1,277
10242,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Other,2,2446
10243,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,513
10244,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Driving at high speed,2,2448
10245,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Unknown,2,3794
10247,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,37
10248,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Other,2,288
10251,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,No priority to pedestrian,2,350
10259,Under 18,Male,Above 10yr,Gravel roads,Dry,Daylight,Normal,No priority to vehicle,2,1376
10261,Under 18,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,262
10262,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,2746
10263,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,2747
10264,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3319
10269,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,98
10270,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,52
10271,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,447
